,name,houseID,houseZip,rentAmount,paymentDate_clean,dob_clean,paymentAmount_clean
0,Paulina Lefort,1869,92129,1324.0,2010-01-02,,1324.0
1,Clare Tilly,407,92155,1723.0,2010-01-02,,1723.0
2,Eleni Loudin,647,92111,1494.0,2010-01-02,2000-01-01,1494.0
3,Tandy Ammann,2215,92153,1438.0,2010-01-02,1992-12-02,1438.0
4,Tamra Trisler,2213,92172,1658.0,2010-01-02,2000-01-01,1658.0
5,Nga Drumm,1779,92117,1542.0,2010-01-02,,1542.0
6,Valeria Banerjee,2353,92137,1586.0,2010-01-02,2000-01-01,1586.0
7,Elly Escamilla,668,92126,1994.0,2010-01-02,1970-04-11,1994.0
8,Gigi Cyr,848,92184,1355.0,2010-01-02,2000-01-01,1355.0
9,Cassy Heuer,336,92196,1976.0,2010-01-02,,1976.0
10,Coleen March,435,92120,937.0,2010-01-02,2000-01-01,937.0
11,Dayle Laramore,521,92147,1241.0,2010-01-02,1997-12-04,1241.0
12,Merle Ranallo,1671,92139,1226.0,2010-01-02,2000-01-01,1226.0
13,Sonny Frenette,2159,92124,1200.0,2010-01-02,,1200.0
14,Deonna Wildes,565,92140,1474.0,2010-01-02,2000-01-01,1474.0
15,Hana Bellon,904,92132,1548.0,2010-01-02,2000-01-01,1548.0
16,Ouida Vanzile,1852,92142,1399.0,2010-01-02,2000-01-01,1399.0
17,Alice Wehling,53,92112,1685.0,2010-01-02,,1685.0
18,Rudy Stirling,2008,92136,1362.0,2010-01-02,2005-04-02,1362.0
19,Carmelo Mckee,313,92120,1097.0,2010-01-02,1987-11-01,1097.0
20,Nobuko Mcenaney,1803,92177,1653.0,2010-01-02,2000-01-01,1653.0
21,Jaymie Eutsey,1067,92108,2188.0,2010-01-02,,2188.0
22,Fe Leader,758,92195,1414.0,2010-01-02,2000-01-01,1414.0
23,Irmgard Owsley,980,92170,1620.0,2010-01-02,,1620.0
24,Jacquiline Lamphear,1010,92174,1904.0,2010-01-02,,1904.0
25,Newton Zamarripa,1778,92155,1353.0,2010-01-02,2001-06-08,1353.0
26,Arletha Plumadore,140,92111,1501.0,2010-01-02,2000-01-01,1501.0
27,Cameron Carbonell,276,92172,757.0,2010-01-02,,757.0
28,Fletcher Omara,778,92162,1654.0,2010-01-02,,1654.0
29,Anamaria Elsea,87,92170,1723.0,2010-01-02,1983-04-08,1723.0
30,Sylvester Grief,2195,92184,1751.0,2010-01-02,2000-01-01,1751.0
31,Olen Pentz,1836,92122,1542.0,2010-01-02,,1542.0
32,Johnson Lovingood,1138,92184,1633.0,2010-01-02,2000-01-01,1633.0
33,Inger Radice,974,92177,1854.0,2010-01-02,,1854.0
34,Tamesha Florez,2206,92115,1967.0,2010-01-02,,1967.0
35,Dusti Rueb,615,92184,1717.0,2010-01-02,2000-01-01,1717.0
36,Blanche Bugarin,220,92142,1603.0,2010-01-02,1991-09-03,-240.45
37,Sheryll Tipping,2129,92145,1169.0,2010-01-02,2000-01-01,1169.0
38,Clementina Hammes,421,92109,1661.0,2010-01-02,,1661.0
39,Booker Gadberry,227,92149,1567.0,2010-01-02,2000-01-01,1567.0
40,Roxanne Falgoust,1998,92177,1387.0,2010-01-02,2000-01-01,1387.0
41,Armanda Primus,145,92126,945.0,2010-01-02,,945.0
42,Dawna Raso,519,92129,1819.0,2010-01-02,1991-01-02,1819.0
43,Myrtle Ng,1743,92177,1239.0,2010-01-02,,1239.0
44,Therese Carrier,2261,92196,1593.0,2010-01-02,1900-01-01,1593.0
45,Belva Hash,191,92132,1541.0,2010-01-02,2052-11-10,1541.0
46,Reuben Mateer,1940,92109,2152.0,2010-01-02,,2152.0
47,Gaynell Neff,821,92136,1332.0,2010-01-02,2068-12-11,1332.0
48,Charlette Villeda,370,92145,1516.0,2010-01-02,1993-01-04,1516.0
49,Dane Reeve,481,92109,1387.0,2010-01-02,,1387.0
50,Helaine Amendola,927,92166,986.0,2010-01-02,2000-01-01,986.0
51,Amal Gillenwater,78,92129,1851.0,2010-01-02,,1851.0
52,Kimberli Spaulding,1256,92127,1085.0,2010-01-02,,1085.0
53,Carmelita Kepley,310,92196,1683.0,2010-01-02,2000-01-01,1683.0
